id,tokens,ner_tags
41,said,0
41,to,0
41,be,0
41,the,0
41,home,0
41,of,0
41,the,0
41,gods.,0
42,In,0
42,the,0
42,folklore,0
42,of,0
42,the,0
42,"region,",0
42,Everest,1
42,is,0
42,said,0
42,to,0
42,be,0
42,the,0
42,home,0
42,of,0
42,the,0
42,gods.,0
43,The,0
43,challenging,0
43,ascent,0
43,of,0
43,Fuji,1
43,has,0
43,attracted,0
43,climbers,0
43,for,0
43,decades.,0
44,The,0
44,challenging,0
44,ascent,0
44,of,0
44,Aconcagua,1
44,has,0
44,attracted,0
44,climbers,0
44,for,0
44,decades.,0
45,The,0
45,challenging,0
45,ascent,0
45,of,0
45,Everest,1
45,has,0
45,attracted,0
45,climbers,0
45,for,0
45,decades.,0
46,Annapurna,1
46,is,0
46,noted,0
46,for,0
46,its,0
46,distinct,0
46,geological,0
46,formations.,0
47,Denali,1
47,rises,0
47,majestically,0
47,above,0
47,the,0
47,surrounding,0
47,landscape.,0
48,McKinley,1
48,rises,0
48,majestically,0
48,above,0
48,the,0
48,surrounding,0
48,landscape.,0
49,Kilimanjaro,1
49,rises,0
49,majestically,0
49,above,0
49,the,0
49,surrounding,0
49,landscape.,0
